,amp,batch_size,bss_reg,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,model,momentum,opt,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,sched,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay,data_augmentation,opt_betas,auto_augment
99483191476165,True,2,0.01,1.0,0.5,0.25,0.0,0.1,0.001,0.2,0.75,False,0.005,0.2,0.5,mobilevit_xxs,0.9,adamw,2,0.4,8,2,plateau,0.05,0.0001,True,0,0.0,0.1,trivial_augment,"(0.9, 0.999)",
109432209464627835,True,4,0.1,1.0,0.5,4.0,0.0,0.1,0.01,0.3,0.75,False,1e-05,0.2,1.0,swinv2_base_window12to24_192to384_22kft1k,0.9,adamp,10,0.6,17,3,cosine,0.0,0.1,False,0,0.0,0.0001,random_augment,"(0.0, 0.99)",
30342389707691813,True,64,0.1,,4.0,2.0,0.0,0.1,0.0,0.0,0.75,True,0.0005,0.0,0.25,xcit_tiny_24_p8_384_dist,0.9,sgd,10,0.8,17,3,cosine,0.05,0.001,False,5,1e-06,1e-05,random_augment,,
242714410373682924,False,16,0.0001,,0.0,2.0,20.0,0.1,0.0001,0.0,0.75,False,5e-05,0.0,1.0,xcit_tiny_12_p8_384_dist,0.9,adamw,10,0.8,8,2,multistep,0.1,0.001,True,0,1e-05,0.0,auto_augment,"(0.9, 0.99)",original
10208759266524817,True,2,0.001,1.0,1.0,1.0,0.0,0.1,0.01,0.3,,False,0.0001,0.4,0.0,beit_base_patch16_384,0.9,sgd,10,1.0,8,2,cosine,0.05,0.0,False,10,1e-06,0.01,auto_augment,,v0
167901487899005886,False,16,0.0,10.0,0.0,0.0,0.0,0.1,0.0001,0.1,0.75,False,0.0005,0.0,0.5,mobilevit_xs,0.9,adam,5,1.0,9,3,plateau,0.0,0.0001,False,0,1e-06,1e-05,random_augment,"(0.9, 0.999)",
4130963487941545,True,2,0.01,10.0,2.0,4.0,0.0,0.1,0.01,0.1,,False,5e-05,0.2,0.75,xcit_tiny_24_p8_384_dist,0.9,sgd,10,0.2,8,2,cosine,0.05,0.0,True,0,0.0,0.0001,none,,
7272660134138386,False,8,0.1,1.0,0.5,0.1,0.0,0.1,0.001,0.4,0.65,False,1e-05,0.2,0.0,edgenext_x_small,0.9,adamw,10,0.2,8,2,cosine,0.1,0.1,False,0,1e-06,0.0,none,"(0.9, 0.999)",
4626300154425493,True,128,0.0,10.0,0.0,4.0,0.0,0.1,0.1,0.4,,False,0.0005,0.0,0.0,mobilevit_xxs,0.9,adam,10,0.4,8,2,cosine,0.05,0.01,True,0,1e-06,0.0001,none,"(0.9, 0.999)",
26747930057138973,True,32,0.01,,2.0,0.1,20.0,0.1,0.01,0.0,0.75,True,0.005,2.0,0.75,volo_d5_512,0.9,adam,10,1.0,8,2,step,0.1,0.001,False,5,1e-05,0.01,none,"(0.9, 0.999)",
8191981088187738,False,16,0.1,1.0,0.5,0.25,0.0,0.1,0.001,0.1,0.65,True,0.001,2.0,0.75,beit_base_patch16_384,0.9,adamw,10,0.4,8,2,cosine,0.0,0.0001,True,0,0.0,0.1,none,"(0.0, 0.99)",
37001627325288724,False,8,0.0,,0.5,0.1,0.0,0.1,0.1,0.3,0.75,False,0.0001,0.4,0.0,swinv2_base_window12to24_192to384_22kft1k,0.9,sgd,2,0.8,9,3,plateau,0.0,0.0001,True,0,1e-06,0.0001,random_augment,,
12596389038866073,True,4,0.0,,0.5,0.0,0.0,0.1,0.0001,0.2,0.75,False,0.001,8.0,0.25,xcit_tiny_12_p8_384_dist,0.9,sgd,5,0.0,8,2,plateau,0.05,0.1,True,10,0.0,0.0001,none,,
18162702189349349,True,8,0.01,1.0,0.0,0.0,0.0,0.1,0.1,0.2,,False,5e-05,2.0,0.5,xcit_tiny_12_p8_384_dist,0.9,adamw,2,0.2,8,2,plateau,0.05,0.0,False,5,1e-06,0.01,none,"(0.9, 0.99)",
76330927347239884,False,8,0.0,10.0,0.0,2.0,0.0,0.1,0.001,0.1,,False,5e-05,0.4,0.5,tf_efficientnet_b6_ns,0.9,adam,10,0.6,8,2,cosine,0.1,0.001,True,5,1e-06,0.001,none,"(0.0, 0.999)",
29851402722830563,True,128,0.0,1.0,2.0,0.5,0.0,0.1,0.001,0.0,0.75,False,0.005,0.2,0.0,mobilevitv2_075,0.9,adamw,10,0.8,8,2,cosine,0.1,0.1,True,0,0.0,1e-05,none,"(0.0, 0.999)",
5487729697298407,True,128,0.01,10.0,2.0,0.1,0.0,0.1,0.0,0.4,,False,0.0001,1.0,0.75,mobilevit_xxs,0.9,sgd,10,0.8,8,2,cosine,0.1,0.0,True,0,0.0,1e-05,none,,
35556401569825826,False,32,0.0001,,0.0,0.1,0.0,0.1,0.0,0.0,,True,0.005,2.0,0.0,tf_efficientnet_b4_ns,0.99,momentum,2,0.8,8,2,plateau,0.1,0.1,True,10,0.0,0.001,trivial_augment,,
9073415316940400,False,4,0.0001,,4.0,0.25,0.0,0.1,0.001,0.4,0.75,True,5e-05,0.4,0.0,tf_efficientnet_b7_ns,0.8,momentum,10,0.8,8,2,cosine,0.1,0.1,False,0,1e-05,0.1,none,,
22176294145196426,False,32,0.0001,10.0,0.5,0.5,10.0,0.5,0.0,0.2,,True,5e-05,4.0,0.5,mobilevitv2_075,0.9,adamw,10,0.0,9,2,step,0.0,0.01,True,0,1e-06,1e-05,random_augment,"(0.9, 0.999)",
50402332607050784,False,4,0.1,10.0,4.0,0.1,10.0,0.5,0.1,0.2,0.75,False,0.0005,1.0,0.25,mobilevitv2_075,0.9,sgd,10,1.0,17,2,step,0.05,0.1,True,10,0.0,0.01,random_augment,,
23099098029176423,True,64,0.1,1.0,0.0,0.5,0.0,0.1,0.1,0.4,0.65,False,0.0001,0.4,0.5,edgenext_small,0.9,adam,2,0.8,8,2,plateau,0.05,0.1,True,0,0.0,0.0,none,"(0.9, 0.99)",
305705942347299647,True,8,0.1,1.0,4.0,0.25,20.0,0.1,0.0001,0.1,0.75,False,1e-05,1.0,1.0,tf_efficientnet_b6_ns,0.9,adamp,10,0.4,9,3,multistep,0.05,0.0001,True,0,1e-06,1e-05,random_augment,"(0.0, 0.99)",
59554321274313888,False,16,0.1,1.0,0.5,0.5,20.0,0.5,0.01,0.4,,False,0.0001,4.0,0.5,edgenext_x_small,0.9,adamw,10,0.0,8,2,multistep,0.05,0.1,True,0,0.0,0.001,none,"(0.0, 0.99)",
412276432403162395,True,2,0.01,,1.0,0.25,10.0,0.5,0.1,0.1,,False,1e-05,0.4,0.0,swinv2_base_window12to24_192to384_22kft1k,0.9,adamw,10,1.0,17,3,multistep,0.1,0.1,True,10,0.0,0.0,random_augment,"(0.9, 0.999)",
25070702873258755,True,2,0.01,1.0,2.0,1.0,0.0,0.1,0.01,0.1,0.75,False,5e-05,2.0,0.0,xcit_nano_12_p8_384_dist,0.9,adamp,10,1.0,8,2,cosine,0.0,0.0001,False,10,1e-06,0.1,none,"(0.0, 0.999)",
15238671243209569,True,2,0.0001,1.0,2.0,0.1,0.0,0.1,0.01,0.0,0.65,False,0.005,8.0,1.0,swinv2_base_window12to24_192to384_22kft1k,0.9,adamp,10,0.8,9,2,cosine,0.1,0.0,True,10,0.0,0.0,random_augment,"(0.0, 0.99)",
27871524408702281,True,8,0.001,10.0,2.0,0.5,0.0,0.1,0.1,0.4,0.75,False,5e-05,8.0,0.5,tf_efficientnet_b4_ns,0.9,adamw,10,0.2,8,2,cosine,0.1,0.001,True,10,1e-06,0.001,none,"(0.0, 0.999)",
23851317304845252,False,2,0.1,1.0,1.0,1.0,0.0,0.1,0.0001,0.2,0.65,False,0.001,4.0,0.5,beit_large_patch16_512,0.9,sgd,10,1.0,8,2,cosine,0.1,0.1,True,10,1e-06,0.0,auto_augment,,original
6531126651150799,True,128,0.001,,0.0,0.25,0.0,0.1,0.001,0.2,0.75,True,0.0005,1.0,0.25,dla46x_c,0.0,momentum,2,1.0,8,2,plateau,0.0,0.0,True,5,1e-05,1e-05,trivial_augment,,
19453431502679926,False,8,0.1,10.0,0.5,2.0,0.0,0.1,0.1,0.3,0.65,False,0.0001,4.0,1.0,beit_base_patch16_384,0.9,adamw,2,0.8,8,2,plateau,0.05,0.0001,True,0,1e-06,0.001,trivial_augment,"(0.9, 0.99)",
9370598557190192,False,32,0.01,10.0,0.0,1.0,10.0,0.1,0.1,0.0,0.75,True,5e-05,8.0,0.75,volo_d5_448,0.9,sgd,10,1.0,8,2,multistep,0.05,0.1,False,10,1e-05,0.1,auto_augment,,v0
63334829739207515,True,8,0.0,1.0,0.5,0.25,20.0,0.5,0.0,0.0,0.65,False,5e-05,0.0,0.0,mobilevitv2_075,0.9,adam,10,1.0,8,2,step,0.05,0.0001,False,10,1e-05,1e-05,trivial_augment,"(0.0, 0.99)",
28016350318507554,False,2,0.01,10.0,0.5,1.0,0.0,0.1,0.1,0.4,0.75,True,0.0001,0.2,0.75,deit3_small_patch16_384_in21ft1k,0.9,adam,10,0.0,8,2,cosine,0.05,0.001,True,0,1e-05,0.001,trivial_augment,"(0.0, 0.999)",
54855600607802405,True,64,0.01,10.0,2.0,0.0,0.0,0.1,0.0,0.2,0.75,True,0.005,8.0,0.5,edgenext_small,0.9,adamw,10,0.2,8,2,cosine,0.05,0.0001,True,10,1e-06,1e-05,none,"(0.9, 0.99)",
36982281862661390,False,32,0.1,,2.0,2.0,0.0,0.1,0.01,0.3,0.65,False,0.0001,4.0,1.0,edgenext_xx_small,0.9,adamp,10,0.2,8,2,cosine,0.0,0.0,True,0,1e-06,0.0001,auto_augment,"(0.0, 0.99)",v0
64865679249743050,False,8,0.001,10.0,4.0,2.0,10.0,0.1,0.0,0.0,,True,0.005,1.0,0.5,xcit_tiny_24_p8_384_dist,0.9,adamp,10,0.4,8,2,multistep,0.05,0.01,False,0,0.0,0.1,none,"(0.9, 0.99)",
269269493726671429,True,128,0.001,,4.0,1.0,20.0,0.1,0.0,0.4,0.65,True,0.0005,0.0,0.0,volo_d1_384,0.95,momentum,10,1.0,17,2,multistep,0.1,0.001,True,0,1e-06,0.01,random_augment,,
13884809022997269,True,256,0.01,1.0,2.0,0.5,20.0,0.1,0.0001,0.0,,True,0.01,0.0,0.5,dla46x_c,0.9,sgd,10,0.2,8,2,step,0.05,0.0,True,10,0.0,1e-05,trivial_augment,,
17084006069302810,False,64,0.0,1.0,2.0,4.0,0.0,0.1,0.0001,0.4,0.65,True,1e-05,1.0,0.25,mobilevit_xs,0.9,adamw,10,0.8,8,2,cosine,0.1,0.01,True,10,1e-06,0.1,none,"(0.9, 0.99)",
315262230210702889,True,16,0.1,10.0,4.0,0.0,10.0,0.1,0.1,0.3,0.75,True,0.0001,0.4,1.0,volo_d4_448,0.9,adamp,10,1.0,8,2,step,0.05,0.01,False,5,1e-06,0.0,auto_augment,"(0.0, 0.999)",original
21174903109801467,True,32,0.0001,10.0,2.0,1.0,0.0,0.1,0.001,0.0,,False,0.01,4.0,0.5,edgenext_small,0.9,adam,10,1.0,8,2,cosine,0.05,0.0001,False,0,1e-05,0.0001,trivial_augment,"(0.9, 0.99)",
383920101079509662,False,32,0.01,,0.0,0.5,20.0,0.5,0.1,0.4,0.75,False,0.005,2.0,0.0,volo_d4_448,0.9,adamw,10,1.0,8,2,step,0.1,0.1,True,10,0.0,0.001,auto_augment,"(0.0, 0.999)",original
1351109297692512,False,2,0.1,,1.0,0.25,0.0,0.1,0.1,0.2,0.75,False,0.0005,0.2,1.0,xcit_tiny_12_p8_384_dist,0.9,sgd,10,1.0,8,2,cosine,0.0,0.0,False,0,0.0,0.01,none,,
212557447932939361,True,2,0.0,10.0,4.0,0.1,10.0,0.1,0.01,0.0,0.65,False,0.01,4.0,0.0,mobilevit_xs,0.9,adamp,10,0.4,8,2,step,0.1,0.001,True,0,1e-06,0.01,auto_augment,"(0.9, 0.99)",original
25308918251469456,False,16,0.0,10.0,0.5,4.0,0.0,0.1,0.0,0.3,,True,1e-05,4.0,1.0,edgenext_x_small,0.9,adamp,2,0.0,9,2,plateau,0.1,0.0001,True,0,1e-05,0.1,random_augment,"(0.0, 0.999)",
28052137837745817,True,256,0.1,10.0,0.0,0.5,0.0,0.1,0.001,0.3,0.65,True,0.0001,0.0,1.0,mobilevit_xxs,0.9,sgd,10,1.0,17,3,cosine,0.1,0.1,True,0,1e-05,0.001,random_augment,,
398732503442220551,True,64,0.0,,1.0,0.5,10.0,0.1,0.001,0.3,0.75,True,0.0001,8.0,0.0,edgenext_small,0.99,momentum,10,0.6,8,2,step,0.0,0.001,True,10,0.0,0.01,auto_augment,,v0
49556238012479752,False,512,0.001,1.0,2.0,4.0,0.0,0.1,0.0001,0.1,0.75,True,0.001,1.0,0.75,edgenext_small,0.9,adam,10,1.0,17,2,cosine,0.0,0.01,False,0,1e-05,0.1,random_augment,"(0.9, 0.99)",
68744687201944200,False,2,0.0,1.0,2.0,2.0,0.0,0.1,0.1,0.3,,False,1e-05,0.2,0.25,dla46x_c,0.9,adam,10,0.8,8,2,cosine,0.0,0.001,False,10,1e-05,0.001,auto_augment,"(0.9, 0.99)",original
16951151375577194,False,256,0.0,1.0,1.0,0.1,10.0,0.5,0.1,0.1,0.75,True,1e-05,1.0,1.0,mobilevit_xxs,0.9,adamw,10,1.0,8,2,step,0.1,0.1,True,5,1e-06,0.1,none,"(0.9, 0.999)",
244453108448436529,True,128,0.001,1.0,1.0,0.25,10.0,0.5,0.0001,0.3,0.65,True,0.0005,2.0,0.0,edgenext_x_small,0.9,adamp,10,0.0,8,2,step,0.1,0.01,False,0,0.0,0.01,none,"(0.9, 0.99)",
508283418211954687,True,2,0.001,,0.0,0.1,10.0,0.5,0.01,0.4,0.65,False,0.01,0.0,1.0,convnext_small_384_in22ft1k,0.0,momentum,10,1.0,17,3,step,0.0,0.1,True,0,1e-06,1e-05,random_augment,,
22448212849937845,True,2,0.01,10.0,2.0,1.0,10.0,0.5,0.01,0.2,,False,0.005,0.2,0.25,edgenext_x_small,0.9,adamp,10,1.0,8,2,multistep,0.0,0.0001,True,10,1e-06,1e-05,none,"(0.9, 0.999)",
353283563244097197,True,32,0.0001,1.0,4.0,0.25,20.0,0.5,0.01,0.4,0.75,True,0.01,0.4,0.0,mobilevitv2_075,0.9,adamp,10,0.0,9,3,step,0.1,0.001,True,10,1e-06,0.0001,random_augment,"(0.9, 0.99)",
358269972198336861,True,256,0.001,,2.0,0.25,10.0,0.1,0.01,0.4,0.65,False,0.0001,0.4,0.75,edgenext_xx_small,0.9,adamw,10,0.6,9,3,step,0.0,0.0,False,0,1e-06,0.01,random_augment,"(0.0, 0.999)",
401104845193165,True,16,0.0001,1.0,0.0,0.25,0.0,0.1,0.0,0.3,0.65,False,0.005,0.0,0.25,edgenext_xx_small,0.9,sgd,10,0.0,8,2,cosine,0.1,0.0001,True,10,0.0,0.1,none,,
22333045382683851,True,4,0.0001,,4.0,2.0,10.0,0.5,0.0,0.4,0.75,False,0.0005,0.2,0.25,volo_d1_384,0.9,sgd,10,1.0,8,2,multistep,0.05,0.01,True,5,1e-06,1e-05,none,,
28816646720579110,False,64,0.0,,0.0,0.25,0.0,0.1,0.01,0.2,0.75,True,0.005,4.0,0.75,edgenext_xx_small,0.95,momentum,10,0.2,8,2,cosine,0.1,0.0,False,0,1e-06,0.0001,none,,
1570984553488897,True,2,0.001,,2.0,4.0,0.0,0.1,0.001,0.4,,False,0.0005,0.4,0.25,edgenext_small,0.9,sgd,10,0.8,8,2,cosine,0.1,0.1,False,5,0.0,0.01,none,,
11477179840168842,False,16,0.001,10.0,0.5,0.0,0.0,0.1,0.0,0.0,0.75,False,1e-05,0.0,0.25,edgenext_small,0.9,sgd,10,0.0,8,2,cosine,0.0,0.0,True,5,1e-06,0.001,auto_augment,,v0
65426924267650542,False,128,0.0,,4.0,2.0,0.0,0.1,0.0001,0.4,0.75,False,0.005,4.0,1.0,mobilevitv2_075,0.9,adamw,2,0.6,17,2,plateau,0.1,0.0,False,5,1e-06,0.1,random_augment,"(0.9, 0.999)",
25526358101141388,False,2,0.0001,1.0,4.0,1.0,0.0,0.1,0.0001,0.3,0.75,False,0.005,0.2,0.25,edgenext_x_small,0.95,momentum,10,0.6,8,2,cosine,0.05,0.0001,False,10,1e-05,0.1,none,,
7568214565106568,False,128,0.001,1.0,4.0,2.0,0.0,0.1,0.001,0.2,0.65,False,0.0001,0.2,0.25,mobilevitv2_075,0.9,adamw,10,0.8,8,2,cosine,0.05,0.1,False,10,1e-06,0.0,none,"(0.9, 0.999)",
151435956948792794,False,32,0.001,1.0,2.0,0.1,10.0,0.5,0.001,0.4,0.65,True,1e-05,0.4,0.5,mobilevitv2_075,0.9,adamp,10,0.4,17,2,step,0.1,0.01,False,5,0.0,1e-05,random_augment,"(0.9, 0.999)",
19209731093953385,True,8,0.0,1.0,1.0,4.0,0.0,0.1,0.1,0.1,,True,0.0001,0.2,0.75,xcit_tiny_24_p8_384_dist,0.9,adamw,10,0.0,8,2,cosine,0.05,0.0,False,10,0.0,0.001,trivial_augment,"(0.9, 0.99)",
198551141677039293,True,32,0.01,,4.0,0.0,10.0,0.1,0.0001,0.3,0.65,False,0.005,8.0,0.0,xcit_tiny_12_p8_384_dist,0.9,adamp,10,0.8,8,2,multistep,0.0,0.1,False,0,0.0,0.0001,none,"(0.9, 0.99)",
105633367655457269,True,64,0.0001,,1.0,1.0,20.0,0.1,0.01,0.1,0.75,False,0.001,0.4,1.0,convnext_small_384_in22ft1k,0.9,sgd,10,0.6,17,3,multistep,0.1,0.0,False,10,0.0,0.1,random_augment,,
47376532890267190,False,512,0.01,10.0,1.0,2.0,20.0,0.1,0.1,0.1,0.65,True,1e-05,8.0,1.0,edgenext_x_small,0.9,adamw,10,0.6,8,2,step,0.1,0.001,True,0,0.0,0.0,trivial_augment,"(0.0, 0.99)",
28226287381262025,True,4,0.1,,0.0,4.0,0.0,0.1,0.01,0.4,0.75,True,0.005,2.0,1.0,volo_d1_384,0.9,adamp,10,1.0,8,2,cosine,0.05,0.0001,False,10,1e-05,0.001,trivial_augment,"(0.0, 0.999)",
64019862536489824,False,8,0.0,1.0,4.0,4.0,10.0,0.5,0.1,0.4,0.75,True,0.001,2.0,1.0,mobilevit_xs,0.9,adamp,10,0.8,8,2,step,0.0,0.001,True,0,1e-06,0.0,auto_augment,"(0.9, 0.999)",v0
25356326064743429,True,512,0.1,10.0,2.0,0.1,0.0,0.1,0.0,0.4,0.75,True,0.005,8.0,0.0,edgenext_x_small,0.95,momentum,10,0.6,8,2,cosine,0.0,0.0,False,5,1e-05,0.1,none,,
36523116286057297,True,2,0.001,1.0,0.5,1.0,0.0,0.1,0.001,0.3,,False,0.01,1.0,1.0,deit3_small_patch16_384_in21ft1k,0.9,adam,10,0.2,17,2,cosine,0.05,0.1,False,0,0.0,0.0001,random_augment,"(0.9, 0.999)",
15934039596427196,False,4,0.01,10.0,2.0,1.0,0.0,0.1,0.01,0.1,0.75,False,1e-05,0.4,0.0,convnext_small_384_in22ft1k,0.0,momentum,10,0.0,8,2,cosine,0.0,0.001,False,5,1e-05,0.0,auto_augment,,v0
83589243412735392,False,16,0.001,1.0,2.0,0.1,10.0,0.5,0.1,0.2,0.65,False,0.01,4.0,0.75,mobilevit_xxs,0.9,sgd,10,0.6,9,3,multistep,0.05,0.0001,False,10,1e-05,0.01,random_augment,,
59470132496249706,False,16,0.0,,0.0,4.0,20.0,0.5,0.001,0.4,,False,0.005,0.2,0.0,xcit_tiny_12_p8_384_dist,0.9,adamw,10,1.0,8,2,multistep,0.1,0.01,False,0,0.0,0.001,none,"(0.0, 0.99)",
2750401689415027,True,16,0.0,1.0,4.0,1.0,0.0,0.1,0.0,0.1,,False,5e-05,8.0,1.0,deit3_small_patch16_384_in21ft1k,0.0,momentum,2,1.0,8,2,plateau,0.0,0.01,False,0,0.0,0.001,trivial_augment,,
2786789742462514,False,64,0.01,10.0,0.5,2.0,0.0,0.1,0.0001,0.2,,False,0.001,0.4,0.5,dla46x_c,0.9,adam,10,0.2,8,2,cosine,0.1,0.0,True,0,0.0,0.001,trivial_augment,"(0.9, 0.999)",
