,amp,batch_size,bss_reg,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,model,momentum,opt,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,sched,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay,opt_betas,data_augmentation,auto_augment
23325816789036909,True,32,0.0,,0.0,0.25,0.0,0.1,0.1,0.2,0.65,False,0.0005,1.0,0.25,dla46x_c,0.9,adam,10,0.4,8,2,cosine,0.1,0.1,False,10,0.0,0.0,"(0.9, 0.99)",none,
15934291324065469,True,2,0.0001,,0.0,0.0,0.0,0.1,0.0,0.4,0.65,True,0.005,1.0,0.25,edgenext_xx_small,0.9,adamw,10,0.2,8,2,cosine,0.0,0.001,False,5,1e-05,0.0,"(0.0, 0.99)",trivial_augment,
11793054940059187,True,2,0.001,1.0,2.0,0.25,0.0,0.1,0.1,0.4,0.75,False,0.005,4.0,0.5,volo_d4_448,0.9,sgd,10,1.0,8,2,cosine,0.0,0.0001,True,0,1e-05,0.001,,auto_augment,v0
12096950656405587,True,16,0.1,,0.0,0.5,0.0,0.1,0.0,0.3,,False,5e-05,2.0,0.25,tf_efficientnet_b7_ns,0.9,sgd,5,0.8,8,2,plateau,0.0,0.0001,True,10,1e-05,0.001,,trivial_augment,
41534771582630970,False,2,0.0,10.0,1.0,4.0,0.0,0.1,0.0001,0.4,,False,5e-05,0.2,0.5,mobilevit_xxs,0.9,adamw,10,1.0,8,2,cosine,0.05,0.01,True,0,1e-05,0.1,"(0.0, 0.99)",auto_augment,original
3281454981442040,False,32,0.001,10.0,2.0,0.0,0.0,0.1,0.0,0.4,,False,0.005,1.0,0.5,volo_d4_448,0.9,sgd,10,1.0,8,2,cosine,0.1,0.01,True,0,1e-06,0.001,,none,
17674797413262400,False,4,0.01,1.0,1.0,0.25,0.0,0.1,0.0,0.1,,False,0.0005,2.0,0.0,volo_d3_448,0.9,adamp,10,0.4,8,2,cosine,0.0,0.01,True,0,0.0,0.01,"(0.9, 0.99)",none,
74588075410489070,False,8,0.001,1.0,4.0,4.0,0.0,0.1,0.01,0.2,,False,0.001,4.0,1.0,xcit_tiny_12_p8_384_dist,0.95,momentum,2,0.0,8,2,plateau,0.05,0.0001,False,10,0.0,0.01,,none,
9681684361749438,False,16,0.1,1.0,0.5,0.1,0.0,0.1,0.1,0.3,,False,0.0001,0.4,0.5,mobilevit_xxs,0.9,sgd,5,1.0,8,2,plateau,0.0,0.0,True,5,0.0,0.01,,trivial_augment,
6446022168664206,False,2,0.001,10.0,1.0,2.0,0.0,0.1,0.0001,0.0,,False,5e-05,8.0,0.5,tf_efficientnet_b7_ns,0.9,adamp,2,0.8,9,2,plateau,0.05,0.1,True,0,1e-05,1e-05,"(0.9, 0.999)",random_augment,
66742162259572113,True,64,0.0001,10.0,0.0,1.0,0.0,0.1,0.001,0.3,0.75,False,0.0001,1.0,0.25,deit3_small_patch16_384_in21ft1k,0.9,adamw,2,0.6,17,2,plateau,0.05,0.01,True,0,1e-06,0.01,"(0.9, 0.999)",random_augment,
80043086696251287,True,4,0.01,1.0,1.0,0.1,20.0,0.1,0.0001,0.3,0.65,False,1e-05,0.0,1.0,beit_base_patch16_384,0.9,momentum,10,0.0,8,2,multistep,0.0,0.0,True,10,0.0,0.0,,trivial_augment,
1928703684649257,True,16,0.0001,1.0,1.0,0.1,10.0,0.1,0.0001,0.0,,False,0.005,0.2,0.75,beit_base_patch16_384,0.9,sgd,10,0.4,8,2,multistep,0.05,0.01,True,0,1e-06,0.01,,trivial_augment,
29781297175001946,False,16,0.0,1.0,0.0,2.0,0.0,0.1,0.1,0.0,0.65,False,0.0005,2.0,0.5,dla46x_c,0.9,sgd,10,0.8,17,3,cosine,0.0,0.0,True,0,0.0,1e-05,,random_augment,
32583189348109072,False,64,0.1,1.0,0.0,0.5,10.0,0.1,0.01,0.3,0.65,False,0.0005,1.0,0.75,mobilevit_xxs,0.8,momentum,10,0.0,8,2,step,0.1,0.0001,False,5,0.0,0.1,,trivial_augment,
10188543715595798,False,128,0.01,,4.0,0.0,0.0,0.1,0.1,0.1,0.65,False,0.0005,0.0,0.75,mobilevit_xs,0.9,adamw,10,0.6,8,2,cosine,0.0,0.1,True,5,1e-06,0.01,"(0.0, 0.99)",trivial_augment,
39782217067569897,True,16,0.1,,2.0,1.0,0.0,0.1,0.001,0.2,,False,0.001,8.0,0.25,swinv2_base_window12to24_192to384_22kft1k,0.9,adam,5,0.8,8,2,plateau,0.05,0.0001,False,5,1e-06,0.0,"(0.9, 0.999)",none,
6230430387995904,False,2,0.01,1.0,2.0,0.5,0.0,0.1,0.0,0.3,0.65,False,0.01,1.0,0.75,mobilevitv2_075,0.9,adam,2,0.2,9,2,plateau,0.0,0.0,True,10,1e-06,1e-05,"(0.9, 0.999)",random_augment,
83856679556373135,True,32,0.001,10.0,2.0,0.0,0.0,0.1,0.1,0.3,,True,0.01,8.0,0.5,deit3_small_patch16_384_in21ft1k,0.9,adam,10,1.0,9,3,cosine,0.05,0.1,True,0,0.0,0.001,"(0.9, 0.99)",random_augment,
165150108877270263,True,128,0.0001,10.0,0.0,2.0,0.0,0.1,0.01,0.4,0.65,False,0.0001,0.4,1.0,dla46x_c,0.0,momentum,2,0.0,9,3,plateau,0.1,0.001,True,10,0.0,0.001,,random_augment,
53544413222407167,True,16,0.1,10.0,0.0,1.0,0.0,0.1,0.001,0.3,,False,1e-05,1.0,0.0,xcit_small_12_p8_384_dist,0.9,sgd,2,0.4,17,3,plateau,0.1,0.01,True,10,1e-06,0.0001,,random_augment,
5737104478527702,False,16,0.001,,2.0,2.0,0.0,0.1,0.1,0.0,,False,1e-05,8.0,0.75,mobilevitv2_075,0.9,sgd,10,0.0,9,2,cosine,0.05,0.001,False,10,0.0,1e-05,,random_augment,
3151619197347793,True,128,0.0,10.0,0.0,0.0,0.0,0.1,0.001,0.3,0.65,False,0.0005,1.0,0.25,edgenext_x_small,0.9,sgd,10,0.0,8,2,cosine,0.0,0.0,False,0,1e-06,0.001,,none,
5601793963064727,True,4,0.01,10.0,1.0,4.0,0.0,0.1,0.01,0.2,,True,5e-05,2.0,0.5,beit_base_patch16_384,0.9,adam,10,0.8,8,2,cosine,0.05,0.01,False,5,0.0,1e-05,"(0.9, 0.999)",trivial_augment,
142235794834780428,False,2,0.0001,1.0,0.5,0.25,0.0,0.1,0.0,0.1,0.75,False,0.005,0.4,1.0,mobilevitv2_075,0.0,momentum,5,0.0,8,2,plateau,0.05,0.0,False,0,1e-06,0.0001,,auto_augment,original
30531669707919614,False,256,0.0,,0.0,1.0,0.0,0.1,0.1,0.2,0.75,True,1e-05,8.0,0.0,mobilevit_xxs,0.9,adam,10,1.0,8,2,cosine,0.0,0.0,True,10,1e-06,1e-05,"(0.0, 0.999)",none,
2218336327808000,False,32,0.1,10.0,1.0,0.1,10.0,0.1,0.01,0.2,0.75,True,5e-05,2.0,1.0,tf_efficientnet_b4_ns,0.9,adam,10,1.0,8,2,step,0.1,0.001,True,10,1e-06,0.01,"(0.9, 0.999)",trivial_augment,
69707860067379050,False,32,0.1,,0.5,0.1,0.0,0.1,0.0,0.1,0.65,True,5e-05,4.0,0.25,xcit_nano_12_p8_384_dist,0.9,adam,2,0.8,8,2,plateau,0.0,0.0001,True,10,1e-06,0.0001,"(0.9, 0.99)",auto_augment,original
4106441988066633,True,8,0.0001,10.0,0.5,0.25,0.0,0.1,0.0,0.1,,False,0.01,1.0,0.5,volo_d5_448,0.9,sgd,10,0.8,8,2,cosine,0.1,0.01,False,0,0.0,0.0001,,trivial_augment,
166479346190718525,True,4,0.1,,0.0,4.0,10.0,0.5,0.0,0.3,0.75,True,0.0001,0.2,1.0,xcit_tiny_24_p8_384_dist,0.8,momentum,10,0.0,8,2,multistep,0.05,0.0001,True,10,0.0,0.0001,,auto_augment,original
106738015527438454,False,64,0.01,,1.0,1.0,20.0,0.1,0.0,0.2,0.65,False,0.001,0.2,1.0,tf_efficientnet_b4_ns,0.9,adamw,10,1.0,8,2,step,0.05,0.1,False,0,0.0,0.01,"(0.0, 0.999)",trivial_augment,
57280717246724270,False,32,0.1,,1.0,4.0,0.0,0.1,0.1,0.4,0.75,False,0.0005,4.0,0.25,deit3_small_patch16_384_in21ft1k,0.9,adamw,2,1.0,8,2,plateau,0.1,0.001,True,0,1e-06,0.1,"(0.9, 0.99)",auto_augment,v0
468865193654602137,True,4,0.01,,4.0,0.25,20.0,0.1,0.01,0.4,,False,1e-05,4.0,0.75,edgenext_xx_small,0.99,momentum,10,0.0,9,3,step,0.1,0.0001,False,10,0.0,0.0,,random_augment,
80055144588018465,True,32,0.001,1.0,4.0,4.0,0.0,0.1,0.0001,0.2,,True,0.0001,0.4,1.0,edgenext_xx_small,0.9,adam,10,0.0,8,2,cosine,0.0,0.0001,True,10,0.0,0.0,"(0.0, 0.999)",none,
68178771710932667,True,8,0.1,1.0,0.0,2.0,0.0,0.1,0.01,0.1,,True,0.01,1.0,0.75,edgenext_small,0.9,adamw,10,1.0,8,2,cosine,0.05,0.1,False,5,1e-06,0.001,"(0.9, 0.99)",auto_augment,original
61443574216653477,True,4,0.01,10.0,1.0,2.0,10.0,0.5,0.001,0.3,0.65,False,1e-05,8.0,1.0,xcit_nano_12_p8_384_dist,0.9,sgd,10,0.0,8,2,step,0.05,0.0,True,5,1e-06,0.0001,,auto_augment,v0
132992970963160493,True,32,0.1,1.0,0.5,4.0,20.0,0.1,0.001,0.2,0.75,False,0.005,4.0,0.5,swinv2_base_window12to24_192to384_22kft1k,0.9,adamp,10,1.0,8,2,step,0.05,0.1,False,5,1e-06,0.001,"(0.0, 0.99)",auto_augment,v0
11351150163909708,False,4,0.1,,4.0,2.0,0.0,0.1,0.0001,0.1,0.65,False,0.01,2.0,1.0,xcit_small_12_p8_384_dist,0.9,sgd,5,0.0,8,2,plateau,0.05,0.0001,True,0,1e-06,0.001,,none,
125502512555586709,True,2,0.0001,,1.0,0.25,20.0,0.5,0.0,0.1,0.65,False,0.0005,0.0,0.25,edgenext_small,0.9,adam,10,1.0,8,2,multistep,0.0,0.0,True,10,1e-05,0.001,"(0.0, 0.999)",trivial_augment,
2571630609363240,False,8,0.0001,1.0,0.5,0.0,0.0,0.1,0.01,0.0,,False,0.001,0.0,0.0,volo_d1_384,0.9,adamp,10,0.0,8,2,cosine,0.05,0.0001,False,10,1e-05,0.01,"(0.9, 0.999)",trivial_augment,
29615071277348912,False,4,0.0,1.0,0.5,0.0,0.0,0.1,0.1,0.1,0.75,False,0.005,8.0,0.25,volo_d4_448,0.9,sgd,5,0.6,8,2,plateau,0.1,0.01,False,10,1e-05,0.0001,,none,
138724672034348304,False,16,0.0001,1.0,1.0,0.1,20.0,0.1,0.01,0.1,,True,5e-05,0.0,0.75,edgenext_xx_small,0.9,adam,10,0.6,17,2,multistep,0.05,0.0001,True,0,1e-05,0.1,"(0.9, 0.999)",random_augment,
19188936690059498,False,256,0.01,,4.0,0.25,0.0,0.1,0.1,0.0,0.65,False,0.005,1.0,0.5,edgenext_xx_small,0.9,adamp,10,0.2,8,2,cosine,0.0,0.1,True,5,0.0,0.001,"(0.9, 0.99)",trivial_augment,
313098402803140905,True,64,0.0,,1.0,0.5,0.0,0.1,0.01,0.1,0.65,False,0.0005,8.0,1.0,deit3_small_patch16_384_in21ft1k,0.95,momentum,5,0.6,17,3,plateau,0.0,0.1,True,5,1e-05,0.0001,,random_augment,
63919324728549224,False,2,0.001,1.0,1.0,2.0,20.0,0.5,0.0001,0.1,0.65,False,1e-05,1.0,0.25,tf_efficientnet_b7_ns,0.9,adamp,10,0.2,8,2,step,0.05,0.0,False,0,1e-06,0.0,"(0.0, 0.99)",none,
255751837889599008,False,2,0.0001,,1.0,4.0,10.0,0.5,0.0,0.3,,True,0.0001,0.0,0.25,dla46x_c,0.9,adam,10,0.8,8,2,multistep,0.1,0.0001,True,0,1e-06,0.0001,"(0.9, 0.99)",auto_augment,v0
7738316934373886,False,128,0.1,1.0,2.0,4.0,0.0,0.1,0.0001,0.3,,False,0.0001,2.0,1.0,mobilevit_xs,0.9,sgd,10,1.0,8,2,cosine,0.1,0.0,True,0,1e-05,0.0,,none,
63991555600580541,True,32,0.1,1.0,0.5,1.0,0.0,0.1,0.0001,0.2,,False,5e-05,4.0,0.75,edgenext_x_small,0.9,sgd,5,0.6,17,3,plateau,0.0,0.0,True,0,1e-06,0.0,,random_augment,
7797814596215228,False,4,0.001,,1.0,0.0,0.0,0.1,0.1,0.1,0.75,True,5e-05,8.0,0.0,xcit_small_12_p8_384_dist,0.9,sgd,10,0.4,8,2,cosine,0.1,0.1,True,0,1e-05,0.0,,trivial_augment,
19633290347345823,True,32,0.01,10.0,4.0,4.0,0.0,0.1,0.01,0.2,0.75,True,0.0005,8.0,1.0,dla46x_c,0.9,adam,2,0.6,8,2,plateau,0.05,0.01,True,5,1e-06,0.001,"(0.9, 0.99)",none,
87913640560474761,True,8,0.001,1.0,0.5,0.1,10.0,0.5,0.0,0.2,0.65,False,5e-05,0.2,0.5,xcit_small_12_p8_384_dist,0.9,adamw,10,0.0,8,2,step,0.1,0.1,True,0,0.0,0.0,"(0.9, 0.99)",none,
50800319322694459,True,4,0.1,,4.0,1.0,0.0,0.1,0.0,0.1,,False,0.0001,0.4,1.0,volo_d5_448,0.9,adamw,10,0.8,17,2,cosine,0.0,0.0001,True,10,1e-06,0.01,"(0.9, 0.99)",random_augment,
119959374935522466,False,2,0.001,10.0,0.0,2.0,0.0,0.1,0.001,0.4,,True,0.0001,1.0,0.25,edgenext_x_small,0.9,adamp,10,0.8,17,3,cosine,0.1,0.0,True,5,1e-05,1e-05,"(0.9, 0.99)",random_augment,
31757725675935404,False,32,0.001,,2.0,0.25,0.0,0.1,0.01,0.1,0.75,False,1e-05,4.0,0.5,edgenext_small,0.9,adam,10,0.8,8,2,cosine,0.1,0.0001,True,5,1e-06,0.0,"(0.0, 0.999)",trivial_augment,
65418375209190718,False,8,0.01,,2.0,4.0,0.0,0.1,0.01,0.0,,False,0.0005,8.0,0.75,convnext_small_384_in22ft1k,0.9,adam,10,0.0,8,2,cosine,0.05,0.0,False,5,1e-06,0.1,"(0.9, 0.99)",auto_augment,original
42609450373979202,False,2,0.1,10.0,0.0,0.0,0.0,0.1,0.001,0.0,0.75,True,5e-05,2.0,0.75,beit_base_patch16_384,0.9,adamw,10,0.4,8,2,cosine,0.0,0.0,False,10,1e-06,0.01,"(0.0, 0.99)",auto_augment,original
7916506192497336,False,8,0.0,10.0,0.0,1.0,0.0,0.1,0.01,0.0,,False,1e-05,0.4,0.0,tf_efficientnet_b4_ns,0.9,sgd,10,0.0,8,2,cosine,0.1,0.001,True,5,1e-05,0.0,,none,
50615341238722148,False,32,0.0,,1.0,0.25,0.0,0.1,0.0,0.0,0.75,False,0.01,1.0,0.75,edgenext_x_small,0.9,adamp,10,0.8,17,2,cosine,0.1,0.01,False,5,1e-06,0.01,"(0.9, 0.99)",random_augment,
18223623590221012,False,8,0.0001,10.0,2.0,4.0,0.0,0.1,0.0,0.2,0.65,False,0.0005,1.0,0.75,mobilevit_xxs,0.9,sgd,10,0.2,9,3,cosine,0.1,0.1,False,5,1e-06,0.01,,random_augment,
467300208176649592,False,4,0.001,10.0,2.0,0.5,20.0,0.1,0.001,0.0,,False,5e-05,0.0,0.0,swinv2_base_window12to24_192to384_22kft1k,0.99,momentum,10,0.4,9,3,step,0.05,0.001,True,0,0.0,1e-05,,random_augment,
22372547401009346,False,4,0.1,10.0,4.0,0.0,10.0,0.5,0.0,0.2,0.65,False,0.005,4.0,0.25,volo_d3_448,0.9,sgd,10,0.4,8,2,multistep,0.0,0.0001,False,10,1e-06,1e-05,,none,
64001858668438532,False,128,0.0001,10.0,0.5,1.0,0.0,0.1,0.1,0.3,,False,0.005,8.0,0.5,mobilevit_xs,0.9,adamp,5,0.8,8,2,plateau,0.1,0.0,True,0,1e-06,0.0,"(0.0, 0.999)",trivial_augment,
464470510057529085,True,4,0.001,10.0,2.0,0.1,20.0,0.1,0.0001,0.0,,False,0.0001,2.0,0.25,swinv2_base_window12to24_192to384_22kft1k,0.99,momentum,10,0.2,9,3,multistep,0.1,0.01,True,10,1e-05,0.01,,random_augment,
14417063895003436,False,8,0.001,,1.0,0.5,0.0,0.1,0.0001,0.4,0.75,False,0.0001,0.4,1.0,xcit_tiny_24_p8_384_dist,0.9,sgd,5,0.4,8,2,plateau,0.1,0.0,False,0,1e-05,1e-05,,none,
12500697361429908,False,2,0.0001,,1.0,1.0,10.0,0.1,0.001,0.0,0.75,False,0.001,2.0,0.25,volo_d1_384,0.9,sgd,10,0.4,8,2,multistep,0.0,0.01,False,10,0.0,0.0001,,auto_augment,v0
198525910199192493,True,256,0.0001,,2.0,0.25,10.0,0.1,0.001,0.0,0.65,False,0.0005,2.0,1.0,edgenext_x_small,0.9,adam,10,0.6,8,2,multistep,0.05,0.001,False,0,0.0,0.0001,"(0.9, 0.99)",none,
3878777614674570,False,8,0.01,,2.0,0.5,10.0,0.1,0.1,0.1,0.65,False,0.005,4.0,1.0,volo_d1_384,0.0,momentum,10,0.0,8,2,multistep,0.05,0.01,True,5,1e-05,0.001,,trivial_augment,
90964807812960893,True,16,0.001,10.0,2.0,0.0,20.0,0.5,0.01,0.3,,False,0.01,4.0,1.0,volo_d3_448,0.9,momentum,10,0.8,8,2,step,0.0,0.01,False,0,1e-06,0.01,,trivial_augment,
24977046746377920,False,32,0.0001,1.0,0.0,0.5,20.0,0.1,0.01,0.3,0.75,False,1e-05,8.0,0.25,tf_efficientnet_b4_ns,0.9,sgd,10,0.4,8,2,step,0.1,0.1,False,5,1e-06,0.1,,none,
34450236411676349,True,8,0.01,10.0,2.0,0.1,20.0,0.1,0.001,0.0,0.65,True,5e-05,1.0,1.0,edgenext_x_small,0.9,adam,10,0.8,8,2,multistep,0.0,0.0001,True,5,1e-06,0.01,"(0.9, 0.999)",auto_augment,v0
10980904628887596,False,2,0.001,,2.0,0.25,20.0,0.1,0.001,0.1,,False,0.001,0.2,0.25,beit_base_patch16_384,0.9,sgd,10,1.0,8,2,multistep,0.1,0.0001,False,5,0.0,0.001,,trivial_augment,
7013316163404647,True,64,0.001,10.0,0.5,0.25,0.0,0.1,0.0,0.3,0.75,True,0.005,1.0,0.5,mobilevit_xxs,0.9,adamp,10,1.0,8,2,cosine,0.05,0.001,True,5,0.0,0.0,"(0.9, 0.999)",trivial_augment,
25959323476649340,False,2,0.0,10.0,2.0,0.25,0.0,0.1,0.1,0.0,0.75,True,5e-05,1.0,0.75,tf_efficientnet_b7_ns,0.9,adamw,2,0.4,8,2,plateau,0.0,0.0,False,10,0.0,0.01,"(0.0, 0.999)",trivial_augment,
7645165774860774,False,128,0.1,1.0,0.0,0.0,10.0,0.1,0.001,0.0,0.65,False,0.0001,1.0,0.75,mobilevit_xs,0.0,momentum,10,0.8,8,2,multistep,0.05,0.1,True,10,1e-06,0.0,,none,
152373394514365,True,16,0.0001,10.0,2.0,1.0,10.0,0.1,0.001,0.1,,True,5e-05,0.0,0.25,convnext_small_384_in22ft1k,0.9,sgd,10,0.4,8,2,step,0.0,0.0,False,5,0.0,0.1,,none,
111009347805074810,False,8,0.001,,2.0,4.0,20.0,0.1,0.01,0.2,,False,0.0001,0.0,0.0,xcit_small_12_p8_384_dist,0.9,adamp,10,0.4,8,2,multistep,0.0,0.1,True,5,0.0,1e-05,"(0.0, 0.999)",trivial_augment,
31486977796219508,False,4,0.001,1.0,4.0,0.1,0.0,0.1,0.001,0.2,,True,5e-05,2.0,0.75,mobilevitv2_075,0.8,momentum,10,0.0,8,2,cosine,0.1,0.01,True,10,0.0,0.0,,none,
60846235134089712,False,16,0.001,1.0,4.0,0.25,0.0,0.1,0.0001,0.2,,False,0.0005,1.0,0.75,mobilevit_xxs,0.9,adamw,5,0.8,8,2,plateau,0.05,0.0,True,0,0.0,0.0001,"(0.0, 0.999)",none,
3758855938566943,True,8,0.0,,4.0,1.0,10.0,0.1,0.0,0.4,0.65,False,0.01,8.0,0.5,xcit_small_12_p8_384_dist,0.9,adamp,10,0.0,8,2,multistep,0.05,0.0,False,5,1e-05,0.001,"(0.9, 0.999)",trivial_augment,
89232770141202013,True,16,0.001,,0.5,0.1,0.0,0.1,0.0,0.3,0.75,True,5e-05,0.0,0.25,mobilevit_xxs,0.9,adamp,10,1.0,8,2,cosine,0.1,0.001,True,0,0.0,0.1,"(0.0, 0.999)",auto_augment,original
32738081217012391,True,128,0.0001,1.0,0.5,0.5,0.0,0.1,0.001,0.1,0.65,False,1e-05,0.4,1.0,edgenext_x_small,0.9,adam,10,1.0,8,2,cosine,0.0,0.001,False,10,0.0,0.1,"(0.0, 0.99)",auto_augment,v0
76874232822979863,True,4,0.0,1.0,0.5,0.1,0.0,0.1,0.0001,0.3,,True,0.005,1.0,1.0,xcit_small_12_p8_384_dist,0.9,adamw,2,0.8,8,2,plateau,0.1,0.01,False,10,1e-05,0.001,"(0.0, 0.999)",none,
31634567501282786,False,4,0.01,10.0,0.0,0.0,20.0,0.1,0.1,0.2,0.75,True,0.005,4.0,0.25,xcit_tiny_12_p8_384_dist,0.9,adamw,10,0.6,8,2,multistep,0.05,0.01,True,0,1e-06,0.0,"(0.9, 0.999)",none,
72319418256829200,False,16,0.01,1.0,0.0,0.1,0.0,0.1,0.0001,0.4,0.75,True,1e-05,0.0,1.0,xcit_nano_12_p8_384_dist,0.9,adamp,10,0.8,9,3,cosine,0.05,0.0,False,10,1e-06,0.0,"(0.9, 0.999)",random_augment,
29591534746898589,True,4,0.001,,0.0,0.1,0.0,0.1,0.1,0.4,0.65,True,0.01,0.4,0.25,swinv2_base_window12to24_192to384_22kft1k,0.9,adamp,10,1.0,8,2,cosine,0.05,0.001,False,10,1e-05,0.0001,"(0.0, 0.999)",none,
33040329402055442,False,8,0.0001,,2.0,1.0,0.0,0.1,0.1,0.2,0.75,False,0.0005,0.4,0.75,tf_efficientnet_b4_ns,0.9,adamw,5,0.0,8,2,plateau,0.0,0.001,False,5,1e-06,0.1,"(0.9, 0.999)",none,
4072523180065435,True,2,0.01,1.0,1.0,0.25,0.0,0.1,0.001,0.3,0.75,False,5e-05,2.0,0.5,xcit_nano_12_p8_384_dist,0.9,adam,10,0.8,8,2,cosine,0.05,0.0001,False,0,0.0,0.0001,"(0.9, 0.999)",trivial_augment,
6042644030773705,True,16,0.1,1.0,4.0,1.0,0.0,0.1,0.001,0.3,0.65,False,0.001,2.0,1.0,beit_base_patch16_384,0.9,sgd,10,0.6,8,2,cosine,0.1,0.001,False,5,1e-06,1e-05,,trivial_augment,
8322573591948832,False,2,0.001,1.0,1.0,1.0,0.0,0.1,0.01,0.4,0.65,False,1e-05,0.2,0.75,volo_d3_448,0.9,sgd,10,0.0,8,2,cosine,0.1,0.1,False,5,0.0,0.1,,auto_augment,v0
41347193183415168,False,16,0.1,,1.0,0.25,0.0,0.1,0.01,0.1,,False,0.0001,8.0,0.25,xcit_tiny_12_p8_384_dist,0.9,adam,5,0.4,8,2,plateau,0.1,0.0,True,10,1e-06,0.1,"(0.0, 0.99)",trivial_augment,
235804101739514505,True,32,0.001,10.0,4.0,0.25,0.0,0.1,0.001,0.4,,False,0.001,0.0,1.0,convnext_small_384_in22ft1k,0.9,adamw,5,0.8,17,3,plateau,0.0,0.001,True,10,1e-06,0.1,"(0.0, 0.99)",random_augment,
730836193909513,True,128,0.0,1.0,2.0,1.0,0.0,0.1,0.1,0.3,0.65,False,0.001,4.0,0.0,dla46x_c,0.9,sgd,10,0.8,8,2,cosine,0.1,0.01,True,5,1e-06,0.1,,none,
22030979198091615,True,32,0.001,,0.5,1.0,0.0,0.1,0.0,0.3,,False,0.0005,0.4,0.5,volo_d4_448,0.9,sgd,10,1.0,9,3,cosine,0.05,0.01,True,10,0.0,1e-05,,random_augment,
184269197218988898,False,2,0.0001,1.0,1.0,0.25,0.0,0.1,0.1,0.4,0.65,True,0.005,0.0,0.0,mobilevit_xs,0.9,momentum,5,0.6,8,2,plateau,0.0,0.001,False,5,1e-06,1e-05,,auto_augment,v0
73924951127921510,False,128,0.001,,2.0,2.0,0.0,0.1,0.0,0.0,0.75,False,0.001,0.0,0.25,edgenext_small,0.99,momentum,10,0.0,17,2,cosine,0.05,0.001,True,0,1e-05,0.1,,random_augment,
249929918180131319,True,32,0.1,10.0,0.0,4.0,10.0,0.5,0.001,0.1,,False,5e-05,2.0,1.0,swinv2_base_window12to24_192to384_22kft1k,0.9,adamw,10,1.0,8,2,step,0.1,0.01,True,0,0.0,0.0,"(0.9, 0.99)",none,
